worktree	head	branch	registration	path_state	locked	disposition
/tmp/cs-7.4b8ap	0abe1a52d38e5f6de501ebca77e534db15160e8c	codex/m7-typescript-async-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8aq	37f6d66d87ae5a93735050189931b9b978e1428f	codex/m7-typescript-async-population	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ar	c7f3cd5fc8a5099b0b0d89b17cfb201ffaf720b4	codex/m7-godot-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8as	3a572d7f3519a3f0e755d37402abe4a5f8765650	codex/m7-godot-population	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8at	812f335b59fb49bcb9774aab937c9e46a27b22d9	codex/m7-launcher-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8au	be5d4ef46317aa010a414c2e604eea21792a1995	codex/m7-launcher-row14-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8av	8e12d60e03f14d39224505921b27cb67d2cf468d	codex/m7-launcher-population	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8aw	16e8e8ada460167fc4f95e8bbe2a857badf06efd	codex/m7-gui-smoke-verification	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ax	3434dfa1667eb43e0a3b0f7cc27ed165fb4636d2	codex/m7-dependencies-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ay	84c739eb70643ef83ea1ae41837759dc2873d085	codex/m7-dependencies-population	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8az	10499ac2fc87a4b790230274241cc29951befb4b	codex/m7-release-build-procedure	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8b	ddd6aabec98e691a0f06276c13d89f4353206995	detached	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8ba	c251eaffd71b95ab7ecc9bc3634ead3eb745b550	codex/m7-generated-command-security	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bb	159b8f780527ccb69c38d8ca83905d40c07528ca	codex/m7-row15-decomposition	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bc	2129213fdb1cb460f5fa26bbba7674af09909749	codex/m7-core-simplicity	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bd	b48bcc06a5f92ce95a0a689a0b37b70fcaed500c	codex/m7-architecture-owner	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8be	7361ec2d5ccd1af32d45972c557887a19533ece9	codex/m7-architecture-population	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bf	e700a02573b0799638c61f3f94dbe1ffec1f38d6	codex/m7-core-constants	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bg	a23015604797161d60821f9d9ad95daa48c465bf	codex/m7-resilience-errors	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bh	a15d44a54017fd61fce8a56d7ed3f7f869dabff8	codex/m7-contract-boundaries	prunable	missing	no	candidate-prune-registration
/tmp/cs-7.4b8bi	83304797747390a5c602ae55511cb97d25beadf2	codex/m7-dependency-route	prunable	missing	no	candidate-prune-registration
